Period,changes-in-per-cent
31.10.1979,12.071535
30.11.1979,12.611276
31.12.1979,13.293944
31.01.1980,13.909224
29.02.1980,14.182344
31.03.1980,14.756447
30.04.1980,14.730878
31.05.1980,14.405594
30.06.1980,14.384509
31.07.1980,13.132695
31.08.1980,12.872629
30.09.1980,12.600536
31.10.1980,12.765957
30.11.1980,12.648221
31.12.1980,12.516297
31.01.1981,11.825193
28.02.1981,11.406844
31.03.1981,10.486891
30.04.1981,10
31.05.1981,9.779951
30.06.1981,9.5526
31.07.1981,10.76179
31.08.1981,10.804322
30.09.1981,10.952381
31.10.1981,10.141509
30.11.1981,9.590643
31.12.1981,8.922364
31.01.1982,8.390805
28.02.1982,7.622298
31.03.1982,6.779661
30.04.1982,6.50954
31.05.1982,6.681514
30.06.1982,7.064018
31.07.1982,6.441048
31.08.1982,5.850488
30.09.1982,5.042918
31.10.1982,5.139186
30.11.1982,4.589114
31.12.1982,3.829787
31.01.1983,3.711559
28.02.1983,3.488372
31.03.1983,3.597884
30.04.1983,3.898841
31.05.1983,3.549061
30.06.1983,2.57732
31.07.1983,2.461538
31.08.1983,2.558854
30.09.1983,2.860061
31.10.1983,2.851324
30.11.1983,3.265306
31.12.1983,3.790984
31.01.1984,4.192229
29.02.1984,4.596527
31.03.1984,4.800817
30.04.1984,4.563895
31.05.1984,4.233871
30.06.1984,4.221106
31.07.1984,4.204204
31.08.1984,4.291417
30.09.1984,4.270109
31.10.1984,4.257426
30.11.1984,4.051383
31.12.1984,3.948667
31.01.1985,3.532875
28.02.1985,3.515625
31.03.1985,3.703704
30.04.1985,3.685742
31.05.1985,3.77176
30.06.1985,3.760849
31.07.1985,3.554275
31.08.1985,3.349282
30.09.1985,3.142857
31.10.1985,3.22887
30.11.1985,3.51377
31.12.1985,3.79867
31.01.1986,3.886256
28.02.1986,3.113208
31.03.1986,2.255639
30.04.1986,1.590271
31.05.1986,1.491146
30.06.1986,1.765799
31.07.1986,1.576994
31.08.1986,1.574074
30.09.1986,1.754386
31.10.1986,1.471941
30.11.1986,1.284404
31.12.1986,1.097896
31.01.1987,1.459854
28.02.1987,2.1043
31.03.1987,3.033088
30.04.1987,3.775322
31.05.1987,3.856749
30.06.1987,3.652968
31.07.1987,3.926941
31.08.1987,4.284412
30.09.1987,4.355717
31.10.1987,4.533092
30.11.1987,4.528986
31.12.1987,4.434389
31.01.1988,4.046763
29.02.1988,3.942652
31.03.1988,3.925067
30.04.1988,3.90417
31.05.1988,3.890363
30.06.1988,3.964758
31.07.1988,4.130053
31.08.1988,4.020979
30.09.1988,4.173913
31.10.1988,4.249783
30.11.1988,4.246101
31.12.1988,4.419411
31.01.1989,4.667243
28.02.1989,4.827586
31.03.1989,4.978541
30.04.1989,5.123826
31.05.1989,5.361702
30.06.1989,5.169492
31.07.1989,4.978903
31.08.1989,4.705882
30.09.1989,4.340568
31.10.1989,4.492512
30.11.1989,4.655029
31.12.1989,4.647303
31.01.1990,5.202312
28.02.1990,5.263158
31.03.1990,5.233034
30.04.1990,4.711617
31.05.1990,4.361874
30.06.1990,4.67365
31.07.1990,4.823151
31.08.1990,5.617978
30.09.1990,6.16
31.10.1990,6.289809
30.11.1990,6.274821
31.12.1990,6.106265
31.01.1991,5.651491
28.02.1991,5.3125
31.03.1991,4.895105
30.04.1991,4.88751
31.05.1991,4.95356
30.06.1991,4.69592
31.07.1991,4.447853
31.08.1991,3.799392
30.09.1991,3.391108
31.10.1991,2.921348
30.11.1991,2.989537
31.12.1991,3.064275
31.01.1992,2.600297
29.02.1992,2.818991
31.03.1992,3.185185
30.04.1992,3.180473
31.05.1992,3.023599
30.06.1992,3.088235
31.07.1992,3.157122
31.08.1992,3.147877
30.09.1992,2.988338
31.10.1992,3.202329
30.11.1992,3.047896
31.12.1992,2.900653
31.01.1993,3.258508
28.02.1993,3.246753
31.03.1993,3.086863
30.04.1993,3.225806
31.05.1993,3.221188
30.06.1993,2.99572
31.07.1993,2.775801
31.08.1993,2.767921
30.09.1993,2.689314
31.10.1993,2.750353
30.11.1993,2.676056
31.12.1993,2.748414
31.01.1994,2.524544
28.02.1994,2.515723
31.03.1994,2.506964
30.04.1994,2.361111
31.05.1994,2.288488
30.06.1994,2.493075
31.07.1994,2.770083
31.08.1994,2.900552
30.09.1994,2.963473
31.10.1994,2.608099
30.11.1994,2.674897
31.12.1994,2.674897
31.01.1995,2.804378
28.02.1995,2.862986
31.03.1995,2.853261
30.04.1995,3.052917
31.05.1995,3.186441
30.06.1995,3.040541
31.07.1995,2.762803
31.08.1995,2.61745
30.09.1995,2.543507
31.10.1995,2.809365
30.11.1995,2.60521
31.12.1995,2.53841
31.01.1996,2.727878
29.02.1996,2.650762
31.03.1996,2.840159
30.04.1996,2.896643
31.05.1996,2.890933
30.06.1996,2.754098
31.07.1996,2.95082
31.08.1996,2.877698
30.09.1996,3.002611
31.10.1996,2.992843
30.11.1996,3.255208
31.12.1996,3.322476
31.01.1997,3.044041
28.02.1997,3.034216
31.03.1997,2.761721
30.04.1997,2.495202
31.05.1997,2.234994
30.06.1997,2.297384
31.07.1997,2.229299
31.08.1997,2.225048
30.09.1997,2.154626
31.10.1997,2.084649
30.11.1997,1.828499
31.12.1997,1.702396
31.01.1998,1.571339
28.02.1998,1.441103
31.03.1998,1.375
30.04.1998,1.435705
31.05.1998,1.686446
30.06.1998,1.684342
31.07.1998,1.682243
31.08.1998,1.616915
30.09.1998,1.488834
31.10.1998,1.485149
30.11.1998,1.547988
31.12.1998,1.611903
31.01.1999,1.670792
