Period,changes-in-per-cent
1986-07-31,1.576994
1986-08-31,1.574074
1986-09-30,1.754386
1986-10-31,1.471941
1986-11-30,1.284404
1986-12-31,1.097896
1987-01-31,1.459854
1987-02-28,2.1043
1987-03-31,3.033088
1987-04-30,3.775322
1987-05-31,3.856749
1987-06-30,3.652968
1987-07-31,3.926941
1987-08-31,4.284412
1987-09-30,4.355717
1987-10-31,4.533092
1987-11-30,4.528986
1987-12-31,4.434389
1988-01-31,4.046763
1988-02-29,3.942652
1988-03-31,3.925067
1988-04-30,3.90417
1988-05-31,3.890363
1988-06-30,3.964758
1988-07-31,4.130053
1988-08-31,4.020979
1988-09-30,4.173913
1988-10-31,4.249783
1988-11-30,4.246101
1988-12-31,4.419411
1989-01-31,4.667243
1989-02-28,4.827586
1989-03-31,4.978541
1989-04-30,5.123826
1989-05-31,5.361702
1989-06-30,5.169492
1989-07-31,4.978903
1989-08-31,4.705882
1989-09-30,4.340568
1989-10-31,4.492512
1989-11-30,4.655029
1989-12-31,4.647303
1990-01-31,5.202312
1990-02-28,5.263158
1990-03-31,5.233034
1990-04-30,4.711617
1990-05-31,4.361874
1990-06-30,4.67365
1990-07-31,4.823151
1990-08-31,5.617978
1990-09-30,6.16
1990-10-31,6.289809
1990-11-30,6.274821
1990-12-31,6.106265
1991-01-31,5.651491
1991-02-28,5.3125
1991-03-31,4.895105
1991-04-30,4.88751
1991-05-31,4.95356
1991-06-30,4.69592
1991-07-31,4.447853
1991-08-31,3.799392
1991-09-30,3.391108
1991-10-31,2.921348
1991-11-30,2.989537
1991-12-31,3.064275
1992-01-31,2.600297
1992-02-29,2.818991
1992-03-31,3.185185
1992-04-30,3.180473
1992-05-31,3.023599
1992-06-30,3.088235
1992-07-31,3.157122
1992-08-31,3.147877
1992-09-30,2.988338
1992-10-31,3.202329
1992-11-30,3.047896
1992-12-31,2.900653
1993-01-31,3.258508
1993-02-28,3.246753
1993-03-31,3.086863
1993-04-30,3.225806
1993-05-31,3.221188
1993-06-30,2.99572
1993-07-31,2.775801
1993-08-31,2.767921
1993-09-30,2.689314
1993-10-31,2.750353
1993-11-30,2.676056
1993-12-31,2.748414
1994-01-31,2.524544
1994-02-28,2.515723
1994-03-31,2.506964
1994-04-30,2.361111
1994-05-31,2.288488
1994-06-30,2.493075
1994-07-31,2.770083
1994-08-31,2.900552
1994-09-30,2.963473
1994-10-31,2.608099
1994-11-30,2.674897
1994-12-31,2.674897
1995-01-31,2.804378
1995-02-28,2.862986
1995-03-31,2.853261
1995-04-30,3.052917
1995-05-31,3.186441
1995-06-30,3.040541
1995-07-31,2.762803
1995-08-31,2.61745
1995-09-30,2.543507
1995-10-31,2.809365
1995-11-30,2.60521
1995-12-31,2.53841
1996-01-31,2.727878
1996-02-29,2.650762
1996-03-31,2.840159
1996-04-30,2.896643
1996-05-31,2.890933
1996-06-30,2.754098
1996-07-31,2.95082
1996-08-31,2.877698
1996-09-30,3.002611
1996-10-31,2.992843
1996-11-30,3.255208
